qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C036R02503966909|Cx:i:14622|Cy:i:16507|14D045837D028|775B1	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C037R01304018064|Cx:i:5561|Cy:i:4580|3A8B30F7002F4|53B35	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C037R03004479009|Cx:i:17275|Cy:i:7067|21A40707C2E77|7D7FA	9825	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C038R00900965101|Cx:i:7579|Cy:i:17450|A07594B89545|53F8D	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C038R04103174318|Cx:i:7559|Cy:i:20667|11574842819DC|BCF4C	9986	Metazoa	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus
E250118428L1C041R02600458131|Cx:i:9032|Cy:i:12645|21C4D244182CF|DDDDF	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C041R04102652094|Cx:i:11817|Cy:i:16054|1A88C24E6068D|61BA1	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C042R01804991661|Cx:i:13733|Cy:i:14851|53515616245D|67577	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C042R03302492173|Cx:i:16967|Cy:i:10324|1EC5E2E180100|81F14	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C001R01102211272|Cx:i:21013|Cy:i:20734|15635A500F516|7D711	9598	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
E250118428L1C005R02002652738|Cx:i:11656|Cy:i:19122|845725094048|45CF0	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C006R03303763956|Cx:i:17113|Cy:i:9690|CDD674A9C020|587C0	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C008R01604632694|Cx:i:12534|Cy:i:21245|35E1A12858598|7478D	210409	Metazoa	Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus trituberculatus
E250118428L1C009R02402985959|Cx:i:10597|Cy:i:15213|224A9C79C2416|22B82	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C015R00601263551|Cx:i:11793|Cy:i:15030|171BF056226D0|798D9	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C015R03401979496|Cx:i:14607|Cy:i:14724|165D59891029C|637E6	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C017R00200617817|Cx:i:6266|Cy:i:18416|881662C07C89|90048	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C017R02101714087|Cx:i:15803|Cy:i:7800|65CC88E00506|E7DF7	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C018R02304062731|Cx:i:15159|Cy:i:4395|329D93628DFB2|CEA29	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C019R02201785531|Cx:i:2857|Cy:i:17747|155D15B10D750|69535	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C019R02700852582|Cx:i:3875|Cy:i:12444|32000AB3CD251|47915	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C020R00301503298|Cx:i:15620|Cy:i:15557|1710948C300|677D8	9597	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan paniscus
E250118428L1C021R03002101865|Cx:i:12395|Cy:i:9835|9E30EDF0C260|677F3	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C022R01401675960|Cx:i:11677|Cy:i:18811|2E05824C1088A|674BE	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C026R01901215570|Cx:i:8377|Cy:i:16067|673960083830|675DF	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C027R03300275387|Cx:i:9211|Cy:i:18887|14E50B7C8C0B6|75746	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C028R00403402265|Cx:i:6216|Cy:i:15790|22A303801517|67EC5	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C028R01002541216|Cx:i:4636|Cy:i:8446|5005C56CAF02|4081B	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C029R03000749789|Cx:i:12369|Cy:i:16741|1436260187574|66205	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C030R01100179025|Cx:i:16921|Cy:i:11706|35A5C9C0239AD|41468	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C031R03901629001|Cx:i:9448|Cy:i:5387|24012CB91515|BC3B1	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
E250118428L1C032R02501991314|Cx:i:12588|Cy:i:21139|2730A0602938E|6571B	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C033R01703145664|Cx:i:7204|Cy:i:2040|F8E0C12D0080|46717	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C034R02004308156|Cx:i:9331|Cy:i:16574|26120D35D4870|7F4C2	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C035R03302169291|Cx:i:8956|Cy:i:21349|28E1C6D6D858|FA528	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C036R03302261151|Cx:i:15972|Cy:i:13375|1029259098379|5CE37	9534	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus aethiops
E250118428L1C040R03703912639|Cx:i:7592|Cy:i:19100|309D602155D05|53037	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C041R03203762764|Cx:i:15492|Cy:i:5534|3ED45159A8C1C|7D731	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
E250118428L1C042R00904302209|Cx:i:7106|Cy:i:10535|315E637375E90|795C7	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C042R02003099268|Cx:i:10222|Cy:i:2641|2391D3BC60ABF|B7E0A	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C001R00602887552|Cx:i:16148|Cy:i:13974|1822EBD7171|6164A	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C002R03200487587|Cx:i:15194|Cy:i:14259|F821B5D9584F|E4D54	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C007R00304372393|Cx:i:16631|Cy:i:6949|19D537511AC49|67EF7	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C007R03304182561|Cx:i:21167|Cy:i:6073|D1E85FDACC0|B39D5	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C008R02103444472|Cx:i:3485|Cy:i:6238|2595931C808B3|1A5E2	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C008R04103173067|Cx:i:9454|Cy:i:18859|130C99DF57689|400C3	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C010R02802421406|Cx:i:19478|Cy:i:5322|125E64B215D4A|9EA1C	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C010R03705023117|Cx:i:8706|Cy:i:14237|185DFC350C796|35CFE	212740	Metazoa	Chordata	Chondrichthyes	Hexanchiformes	Hexanchidae	Heptranchias	Heptranchias perlo
E250118428L1C012R01104424382|Cx:i:16119|Cy:i:5929|3065D645C5825|49F01	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C012R01801847795|Cx:i:8630|Cy:i:15909|6C4DC50D0012|60160	9565	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	Theropithecus gelada
E250118428L1C012R04100725808|Cx:i:18283|Cy:i:12439|2EA563961B7F7|90D5D	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C014R00400423898|Cx:i:14225|Cy:i:14659|165CD511085EC|11609	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C014R00901697946|Cx:i:18298|Cy:i:16514|14A410DA40400|B1D7E	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C018R00500754548|Cx:i:8010|Cy:i:16618|125A65579D661|57795	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C019R00603456809|Cx:i:16449|Cy:i:12617|1C55881A44A55|5285B	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C021R02701189856|Cx:i:16813|Cy:i:8676|65011508C543|AF6D1	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C022R02704213787|Cx:i:15178|Cy:i:4385|5184782DDD50|67EE1	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
E250118428L1C025R02502004559|Cx:i:4246|Cy:i:19740|D775E684320D|1C9C7	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C025R03701327154|Cx:i:14806|Cy:i:14415|5A5E44040D7|40953	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C025R04103809721|Cx:i:16820|Cy:i:9379|4468000E3149|ABA0C	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C027R02100654960|Cx:i:14683|Cy:i:4641|403765A8B490|67E97	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C027R03600212732|Cx:i:6479|Cy:i:4953|474142270519|467C4	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C028R01500697732|Cx:i:3183|Cy:i:7536|13E4340403AB|C9C2A	1859967	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	Paramyrothecium foliicola
E250118428L1C029R03104615005|Cx:i:4886|Cy:i:20019|A00EA8C49AE|4B812	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C031R01304711265|Cx:i:9233|Cy:i:15484|3A718829A4E1D|AD333	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C031R01900032164|Cx:i:16057|Cy:i:13513|33A51D47E05D1|97DD2	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C033R02701584621|Cx:i:10051|Cy:i:16684|CCD48D0AA4F3|45503	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C033R04104185982|Cx:i:8537|Cy:i:16300|375E082070139|66438	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C035R02903214327|Cx:i:12042|Cy:i:17081|51716F23015E|26431	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C036R00204084795|Cx:i:9214|Cy:i:16471|37BD12C7013DC|738B6	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C037R01403562063|Cx:i:7374|Cy:i:15188|27C52744A04E7|73354	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C037R03703693520|Cx:i:17055|Cy:i:10575|8E2780130478|67F17	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C037R04203018222|Cx:i:16819|Cy:i:7764|883EF67ACE56|487D4	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C039R01303861140|Cx:i:10256|Cy:i:15236|B710CC1E4720|D3339	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C039R01802417496|Cx:i:16396|Cy:i:13357|3D80F5651968D|4B171	111789	unknown	unknown	unknown	unknown	unknown	unknown	eukaryotic synthetic construct
E250118428L1C040R00103073814|Cx:i:15764|Cy:i:13499|1DA0402054D41|38D3A	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C040R00702822877|Cx:i:3811|Cy:i:21162|9D4911AC9D51|FA256	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C041R01801151411|Cx:i:6930|Cy:i:20515|68B91C321081|58C01	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C003R01502110817|Cx:i:10904|Cy:i:9800|3D40FBC053858|CF229	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C007R01000438299|Cx:i:7411|Cy:i:8747|E01194028045|67157	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C007R01902411166|Cx:i:13474|Cy:i:3936|2758716422679|C5752	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C007R02800757074|Cx:i:11563|Cy:i:14943|2495C1845040D|4D251	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C009R00404165301|Cx:i:15521|Cy:i:14301|25F518942458F|73105	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C009R01603393650|Cx:i:9551|Cy:i:15997|3138B814E9738|C0FCE	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C011R00701573939|Cx:i:13045|Cy:i:14758|9156033D222D|FFFD6	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C011R03903262158|Cx:i:13002|Cy:i:19724|1F442130035|67E97	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C012R04003412764|Cx:i:9796|Cy:i:19655|3B57EFC54F95|1E1C5	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C013R03901246790|Cx:i:10488|Cy:i:17384|369D914566950|437C1	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C013R03901785145|Cx:i:17804|Cy:i:10537|CCDA7CBB2194|227F	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C014R01102713610|Cx:i:17400|Cy:i:4694|180901C398030|67D5C	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C015R03203312779|Cx:i:11013|Cy:i:15412|E614213430E4|79635	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C015R04201656511|Cx:i:15874|Cy:i:19478|37294D75770D9|53816	241622	Fungi	Glomeromycota	unknown	unknown	unknown	unknown	uncultured Glomeromycotina
E250118428L1C016R02900028800|Cx:i:3578|Cy:i:5716|86C00249800A|95F0F	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C016R02900519529|Cx:i:13431|Cy:i:20081|497DB6679535|307DC	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C016R03800459416|Cx:i:13276|Cy:i:17347|68C0C1030|C3C68	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C018R01002924842|Cx:i:19372|Cy:i:19631|2214660404320|61A03	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C020R04200599738|Cx:i:13559|Cy:i:14739|F6005A551246|67EF5	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C024R01404863676|Cx:i:6677|Cy:i:20875|60D804104711|7C726	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C025R02903432454|Cx:i:7428|Cy:i:10539|A2600DDC0022|515B1	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C026R01104361797|Cx:i:12449|Cy:i:15300|3156761161741|67E97	59463	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis lucifugus
E250118428L1C026R03104351135|Cx:i:10915|Cy:i:15511|105E851100C5E|48BC5	9555	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
E250118428L1C026R03602468400|Cx:i:15977|Cy:i:13548|116245116B429|C0EF5	134920	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius pungitius
E250118428L1C027R00500163174|Cx:i:11053|Cy:i:16739|3548C4E640E11|D64E3	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C027R00902815832|Cx:i:10956|Cy:i:10385|3FF0DD7E021ED|24C28	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C027R03900804150|Cx:i:4820|Cy:i:20554|283215326B15A|29299	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C028R03001694142|Cx:i:9785|Cy:i:10593|64587261413|C6A76	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C028R03600182649|Cx:i:8557|Cy:i:15988|C041F05631C4|A5776	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C034R01301216980|Cx:i:16730|Cy:i:10459|C10087464034|67714	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C034R01302054182|Cx:i:6922|Cy:i:4430|259078908061C|F33F3	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C035R01603811946|Cx:i:15379|Cy:i:10149|2604F50D68451|1CA95	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C035R01700407892|Cx:i:20217|Cy:i:3386|256D4B5045C7|CBD97	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C036R00804826755|Cx:i:11524|Cy:i:10039|2F46200800753|62053	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C037R01000632485|Cx:i:17119|Cy:i:5493|4B74F0EC23CC|49303	81572	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	Hylobates	Hylobates moloch
E250118428L1C037R03702437227|Cx:i:6170|Cy:i:11812|E8239AB7A124|5F3F1	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C038R00501245998|Cx:i:5180|Cy:i:8505|1C740560A3A85|6CCD2	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C038R00903814004|Cx:i:16491|Cy:i:8004|1022E0C400728|7BF0E	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C038R02303439412|Cx:i:17372|Cy:i:4745|11DDE55838088|4FF45	9796	Metazoa	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus caballus
E250118428L1C039R00500827142|Cx:i:5570|Cy:i:18958|15201004556CD|659EF	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C040R02303830161|Cx:i:11205|Cy:i:20320|A38E00EF6A7F|2A5FD	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C041R01402270013|Cx:i:9042|Cy:i:15827|EDD5ABFDFE0D|6E82D	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C042R03602912513|Cx:i:6709|Cy:i:17856|22A6871224404|E07A9	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C042R04104679063|Cx:i:12238|Cy:i:12858|9D42C7A9E0CB|C0F04	136180	Metazoa	Arthropoda	Copepoda	Calanoida	Acartiidae	Acartia	Acartia tonsa
E250118428L1C001R02603359923|Cx:i:9887|Cy:i:12025|1143E384B204E|D9D86	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C001R03101751217|Cx:i:19073|Cy:i:9595|4194F20D12C|96ADE	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C002R00400350013|Cx:i:9796|Cy:i:15508|29A74024061C2|7D088	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C002R00803122534|Cx:i:13946|Cy:i:14796|105EBD2B55884|A4786	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C002R01802374114|Cx:i:8080|Cy:i:20359|B3EF62737009|79B86	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C002R04004595025|Cx:i:10951|Cy:i:9139|2918B3C540449|488CD	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C004R01102126896|Cx:i:2365|Cy:i:9247|8A04480010A5|9C312	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C005R00800385121|Cx:i:11372|Cy:i:8802|31155EF85441A|5ECC1	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C005R00801011510|Cx:i:15176|Cy:i:15888|2F989018348D|DFF11	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C005R03200320806|Cx:i:17634|Cy:i:10321|5651F88EDA72|67E51	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C005R03602237494|Cx:i:17804|Cy:i:7304|329D05E416916|741EE	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C006R01604991901|Cx:i:15118|Cy:i:11838|5F772A15E5AD|67A81	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C006R02300127539|Cx:i:14101|Cy:i:13392|222141414615|C1155	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C006R03401940419|Cx:i:18034|Cy:i:13580|158154109D437|58E2D	9771	Metazoa	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera musculus
E250118428L1C007R00301951184|Cx:i:16903|Cy:i:10643|151D874801285|67631	9598	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
E250118428L1C007R01204784461|Cx:i:4302|Cy:i:19954|1490441CA0119|D587	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C007R02204914158|Cx:i:9420|Cy:i:15485|26B063B1C0545|D9B4E	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C008R02004318105|Cx:i:6781|Cy:i:3267|148CF013CF75D|68552	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C008R03001143497|Cx:i:13680|Cy:i:14944|39EB194541ED4|D49D7	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C010R00200890637|Cx:i:8512|Cy:i:19928|1BA59E95942DD|A5D61	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C011R03901419252|Cx:i:3911|Cy:i:9645|124D461410297|64081	10116	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus
E250118428L1C012R01302941819|Cx:i:9085|Cy:i:20449|13230072A2135|FFFFF	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C015R00101762638|Cx:i:20144|Cy:i:3491|C529495A272F|9382C	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C015R00701862058|Cx:i:17054|Cy:i:7625|8DE2E4053344|67ED7	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C016R01804905377|Cx:i:14937|Cy:i:13252|1A43479404235|64797	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C017R02501926982|Cx:i:17111|Cy:i:9923|1D815EDC9B501|47FB0	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C019R00702963057|Cx:i:11739|Cy:i:11112|3B65BCCB23858|49FCC	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C020R01201910097|Cx:i:17901|Cy:i:5756|1B39641284100|73AC4	111789	unknown	unknown	unknown	unknown	unknown	unknown	eukaryotic synthetic construct
E250118428L1C020R01702240594|Cx:i:11617|Cy:i:10793|45EA4D55389D|D2379	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C021R02800505753|Cx:i:16986|Cy:i:4216|1584E5C5E709|771EA	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C022R01202929969|Cx:i:15955|Cy:i:4033|5B0206582E90|9C328	41426	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
