qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C032R00501436441|Cx:i:5460|Cy:i:2627|2D52EBB0FE1BB|3C299	9825	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C033R00903584135|Cx:i:12022|Cy:i:15090|E8E4ECAA20F|64255	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C033R03901619457|Cx:i:5986|Cy:i:4715|2F85BB9D20A0B|64BF8	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C035R00704178910|Cx:i:13944|Cy:i:8102|3B28045525A6C|67E97	9555	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
E250118428L1C035R01200906376|Cx:i:10302|Cy:i:20650|D3E896B2801|7AE7E	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C035R02202679204|Cx:i:16235|Cy:i:12242|1DCF04D77D54C|D7555	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C035R03200926451|Cx:i:6545|Cy:i:18068|95878772CA21|6F41D	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C036R01501078694|Cx:i:8407|Cy:i:5527|25C54949CA052|BB2E1	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C037R03302308493|Cx:i:14933|Cy:i:14471|1AD48CB4637C|98C39	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C038R00103767740|Cx:i:4652|Cy:i:8208|16701A0402010|9706D	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
